"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y2";"Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering";1;"8MHz";;;
2;"Y1";"Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering";1;"32768Hz";;;
3;"U8";"Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering";1;"FXO-SM7_OSC-SMD7050_short";;;
4;"J17,J18,J30,J29,J19,J20,J33,J32";"PinHeader_1x03_P2.54mm_Vertical";8;"Conn_01x03";;;
5;"C86,C85,C109,C110,C88,C87,C104,C100";"C_0603_1608Metric";8;"2.2u";;;
6;"U5,U10,U6";"SOT-23-5";3;"LP5907";;;
7;"U3,U2,U1,U4";"QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm_ThermalVias";4;"AD7779";;;
8;"J39,J40,J41,J42,J43,J44";"PinHeader_2x04_P2.54mm_Vertical";6;"Conn_02x04_Odd_Even";;;
9;"U14,U15,U16";"SOIC-16W_7.5x10.3mm_P1.27mm";3;"ISO7341c";;;
10;"C116,C117,C118,C119,C120,C121,C91,C89,C40,C32,C34,C36,C28,C35,C22,C30,C24,C41,C76,C78,C83,C82,C77,C74,C70,C72,C66,C64,C56,C62,C55,C49,C57,C51,C45,C61,C43,C53,C1,C3,C7,C20,C19,C15,C14,C13,C11,C9,C93,C97,C98,C99,C102,C103,C105,C106,C107,C95,C94,C108,C101,C114,C112,C111";"C_0402_1005Metric";64;"100n";;;
11;"J22,J21,J31,J34,J23";"PinHeader_1x04_P2.54mm_Vertical";5;"Conn_01x04";;;
12;"T1";"SMT Power Transformer";1;"da2303";;;
13;"J16,J5,J6,J7,J8,J15,J14,J13,J11,J9,J10,J12,J1,J2,J3,J4";"PinHeader_2x08_P2.54mm_Vertical";16;"Conn_02x08_Odd_Even";;;
14;"C58,C33,C31,C42,C29,C23,C37,C25,C73,C79,C67,C71,C65,C84,C75,C52,C44,C46,C63,C50,C54,C10,C12,C2,C4,C8,C21,C16,C127";"C_0402_1005Metric";29;"1u";;;
15;"C92,C113,C115";"C_0603_1608Metric";3;"10u";;;
16;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADR4525";;;
17;"C90";"C_0805_2012Metric";1;"22u";;;
18;"C38,C26,C80,C68,C47,C59,C5,C17,C96";"C_0603_1608Metric";9;"100n";;;
19;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_Pad";18;"MH_2.2mm_M2";;;
20;"C39,C27,C69,C81,C48,C60,C6,C18,C128";"C_0603_1608Metric";9;"1u";;;
21;"REF**,REF**";"MountingHole_2.2mm_M2_Pad";2;"MH_2.2mm_M2_Pad";;;
22;"U9";"LQFP-144_20x20mm_P0.5mm";1;"STM32F765ZITx";;;
23;"D1,D2";"SODâˆ’123";2;"D_Schottky";;;
24;"J35,J36";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
25;"U12";"SOT-23-6_Handsoldering";1;"SN6505A";;;
26;"J25,J26,J27,J28";"PinHeader_2x18_P2.54mm_Vertical";4;"Conn_02x18_Odd_Even";;;
27;"C122";"C_0603_1608Metric";1;"4.7u";;;
28;"U11";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"LSM6DS3";;;
29;"U13";"473521001";1;"473521001";;;
30;"J37";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
31;"J38";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
32;"J24";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
33;"C123,C125";"C_0402_1005Metric";2;"CL1";;;
34;"C124,C126";"C_0402_1005Metric";2;"CL2";;;
35;"R10";"R_0402_1005Metric";1;"R_EXT";;;
